TimeUS,GPS_Lat,GPS_Lng,GPS_Alt,EKF_Lat,EKF_Lng,EKF_Alt,Guided_Lat,Guided_Lng,Guided_Alt
1265268322,,,,36.0757789,136.2132966,0.5199999809265137,,,
1265285532,36.0757789,136.2132966,0.53,,,,,,
1265325839,36.0757789,136.2132966,0.53,,,,,,
1265365747,36.0757789,136.2132966,0.53,,,,,,
1265368543,,,,36.0757789,136.2132966,0.5199999809265137,,,
1265385524,36.0757789,136.2132966,0.53,,,,,,
1265405534,36.0757789,136.2132966,0.53,,,,,,
1265425694,36.0757789,136.2132966,0.53,,,,,,
1265465779,36.0757789,136.2132966,0.53,,,,,,
1265468414,,,,36.0757789,136.2132966,0.5199999809265137,,,
1265485525,36.0757789,136.2132966,0.53,,,,,,
1265505478,36.0757789,136.2132966,0.53,,,,,,
1265525853,36.0757789,136.2132966,0.53,,,,,,
1265545552,36.0757789,136.2132966,0.53,,,,,,
1265565726,36.0757789,136.2132966,0.53,,,,,,
1265568396,,,,36.0757789,136.2132966,0.5199999809265137,,,
1265585540,36.0757789,136.2132966,0.53,,,,,,
1265625707,36.0757789,136.2132966,0.53,,,,,,
1265645514,36.0757789,136.2132966,0.53,,,,,,
1265665720,36.0757789,136.2132966,0.53,,,,,,
1265668534,,,,36.0757789,136.2132966,0.5199999809265137,,,
1265685536,36.0757789,136.2132966,0.53,,,,,,
1265705468,36.0757789,136.2132966,0.53,,,,,,
1265745533,36.0757789,136.2132966,0.53,,,,,,
1265768422,,,,36.0757789,136.2132966,0.5199999809265137,,,
1265785527,36.0757789,136.2132966,0.53,,,,,,
1265805515,36.0757789,136.2132966,0.53,,,,,,
1265825895,36.0757789,136.2132966,0.53,,,,,,
1265865693,36.0757789,136.2132966,0.53,,,,,,
1265868428,,,,36.0757789,136.2132966,0.5199999809265137,,,
1265885480,36.0757789,136.2132966,0.53,,,,,,
1265905571,36.0757789,136.2132966,0.53,,,,,,
1265945533,36.0757789,136.2132966,0.53,,,,,,
1265965836,36.0757789,136.2132966,0.53,,,,,,
1265968394,,,,36.0757789,136.2132966,0.5199999809265137,,,
1266005484,36.0757789,136.2132966,0.53,,,,,,
1266025702,36.0757789,136.2132966,0.53,,,,,,
1266065743,36.0757789,136.2132966,0.53,,,,,,
